Item	Qty	Unit	Designators
Connector, Delta BFB0524HH Fan, 2 pins	1		X20
Connector, Ferrule, crimp	6		
Connector, Insulated Female Spade Connector, 6.3 x 0.8mm Tab Size, insulated, 1 pins	3		X11, X13, X9
Connector, Insulated Ring Terminal, M4 Stud Size, insulated, 1 pins	11		X1, X10, X12, X2, X22, X3, X4, X5, X6, X7, X8
Connector, Molex 50-57-9404, female, 4 pins	1		X21
Connector, Molex 70107-0003, male, 4 pins	1		X18
Connector, Molex KK 254, female, 2 pins	1		X17
Connector, Molex KK 254, female, 3 pins	2		X14, X16
Connector, OMRON D2F-01F, Microswitch, 3 pins	2		X15, X19
Connector, Stripped Wire, 10mm	9		
Wire, 0.25 mm², BK	1.1	m	W15, W16
Wire, 0.25 mm², GN	2.1	m	W14, W15, W16
Wire, 0.25 mm², GY	2.1	m	W14, W15, W16
Wire, 0.25 mm², RD	1.1	m	W15, W16
Wire, 1.5 mm², BN	0.89	m	W1, W5, W6
Wire, 1.5 mm², BU	0.7	m	W1, W10, W11
Wire, 1.5 mm², GN	2.05	m	W12, W13, W17, W4
Wire, 1.5 mm², GY	1.0	m	W2, W3, W7, W8, W9
